poly_id,tea_probability,tea_fraction,n_pixels
565,0.013510718,0.0,16
566,0.010161781,0.0,88
567,0.021398012,0.0,15
568,0.013581145,0.0,65
569,0.019756936,0.0,36
570,0.008442959,0.0,26
571,0.019267567,0.0,17
572,0.02216271,0.0,45
573,0.010334147,0.0,73
574,0.014804599,0.0,33
575,0.020972548,0.0,17
576,0.014039691,0.0,19
577,0.008410888,0.0,71
578,0.008182665,0.0,19
579,0.012830463,0.0,34
580,0.008734677,0.0,17
581,0.011212105,0.0,22
582,0.008064636,0.0,13
583,0.01738086,0.0,11
584,0.014697225,0.0,16
585,0.011222249,0.0,15
586,0.010138664,0.0,61
587,0.011012913,0.0,23
588,0.012526178,0.0,511
589,0.010907852,0.0,23
590,0.010233222,0.0,39
591,0.01540966,0.0,19
592,0.021610316,0.0,21
593,0.0101245195,0.0,19
594,0.014084854,0.0,17
595,0.021572977,0.0,12
596,0.021660296,0.0,13
597,0.017011305,0.0,24
598,0.0146227665,0.0,22
599,0.008618645,0.0,77
600,0.0086248275,0.0,23
601,0.013108485,0.0,37
602,0.011565246,0.0,71
603,0.014767975,0.0,12
604,0.017257845,0.0,14
605,0.019573996,0.0,35
606,0.020741435,0.0,13
607,0.01712366,0.0,20
608,0.011696683,0.0,15
609,0.020759597,0.0,12
610,0.011226462,0.0,232
611,0.01525459,0.0,22
612,0.021695074,0.0,68
613,0.0083842045,0.0,121
614,0.019711593,0.0,17
615,0.006456163,0.0,17
616,0.008724981,0.0,15
617,0.01625331,0.0,14
618,0.02203586,0.0,22
619,0.016390603,0.0,15
620,0.010064843,0.0,23
621,0.021551212,0.0,32
622,0.012340186,0.0,17
623,0.020676075,0.0,27
624,0.009257713,0.0,141
625,0.017278092,0.0,24
626,0.020728162,0.0,27
627,0.016857179,0.0,13
628,0.011506202,0.0,78
629,0.016200496,0.0,11
630,0.0104860645,0.0,27
631,0.0150384335,0.0,25
632,0.011066679,0.0,94
633,0.0129159205,0.0,13
634,0.0076288935,0.0,13
635,0.019355498,0.0,36
636,0.013518477,0.0,15
637,0.016474435,0.0,35
638,0.008113189,0.0,13
639,0.010756151,0.0,61
640,0.013267833,0.0,25
641,0.020927137,0.0,12
642,0.010469949,0.0,16
643,0.016075037,0.0,17
644,0.02148762,0.0,32
645,0.015787458,0.0,23
646,0.010714202,0.0,62
647,0.022483172,0.0,48
648,0.012537312,0.0,406
649,0.008737313,0.0,113
650,0.020797232,0.0,13
651,0.020364707,0.0,40
652,0.011987927,0.0,56
653,0.0076720444,0.0,17
654,0.025968147,0.0,62
655,0.01942318,0.0,22
656,0.010203325,0.0,24
657,0.020029088,0.0,21
658,0.013093666,0.0,151
659,0.021072503,0.0,22
660,0.016701205,0.0,36
661,0.021742718,0.0,30
662,0.008530262,0.0,55
663,0.01945298,0.0,36
664,0.010092467,0.0,13
665,0.020575665,0.0,19
666,0.008033004,0.0,84
667,0.013258284,0.0,10
668,0.014569385,0.0,23
669,0.020500643,0.0,11
670,0.019942936,0.0,52
671,0.022349602,0.0,22
672,0.011979778,0.0,103
673,0.020826273,0.0,26
674,0.021752536,0.0,13
675,0.020942677,0.0,13
676,0.015971022,0.0,19
677,0.021545121,0.0,46
678,0.02351524,0.0,14
679,0.0124788275,0.0,56
680,0.007902673,0.0,79
681,0.01651074,0.0,34
682,0.034796126,0.0,14
683,0.021764135,0.0,49
684,0.013420197,0.0,29
685,0.0110862525,0.0,17
686,0.01298885,0.0,18
687,0.012197598,0.0,93
688,0.014355806,0.0,25
689,0.011289751,0.0,1905
690,0.0112075545,0.0,13
691,0.010288645,0.0,24
692,0.019742155,0.0,15
693,0.011482598,0.0,68
694,0.022675995,0.0,20
695,0.020207345,0.0,42
696,0.013517874,0.0,82
697,0.0089916205,0.0,18
698,0.0117855305,0.0,12
699,0.016041033,0.0,15
700,0.023359973,0.0,68
701,0.009217382,0.0,19
702,0.026337748,0.0,19
703,0.012373742,0.0,16
704,0.01687674,0.0,18
705,0.0190207,0.0,15
706,0.010725701,0.0,1061
707,0.014527907,0.0,20
708,0.020165512,0.0,20
709,0.010805065,0.0,18
710,0.019137518,0.0,14
711,0.010418083,0.0,109
712,0.011656891,0.0,23
713,0.022441352,0.0,35
714,0.014008889,0.0,25
715,0.0111355465,0.0,19
716,0.022440618,0.0,17
717,0.023947416,0.0,59
718,0.01044479,0.0,115
719,0.021701973,0.0,11
720,0.013111595,0.0,17
721,0.02041283,0.0,14
722,0.018693717,0.0,17
723,0.010307677,0.0,69
724,0.010661962,0.0,62
725,0.020635772,0.0,69
726,0.012227612,0.0,18
727,0.010251996,0.0,63
728,0.016272498,0.0,14
729,0.021798257,0.0,15
730,0.011659862,0.0,223
731,0.025332496,0.0,12
732,0.010505225,0.0,15
